id,url,name,affiliation,role
R0025,https://example.com/survey/R0025/福島肇,福島肇,計算科学研究センター/Center for Computational Sciences,Domain_researcher
R0026,https://example.com/survey/R0026/秋山進一郎,秋山進一郎,計算科学研究センター/Center for Computational Sciences,Domain_researcher
R0027,https://example.com/survey/R0027/直江俊雄,直江俊雄,芸術系/Faculty of Art and Design,Domain_researcher
R0028,https://example.com/survey/R0028/沼舘直樹,沼舘直樹,数理物質系/Faculty of Pure and Applied Sciences,Domain_researcher
R0029,https://example.com/survey/R0029/戸田-浩史,戸田 浩史,国際統合睡眠医科学研究機構/International Institute for Integrative Sleep Medicine,Domain_researcher
R0030,https://example.com/survey/R0030/Masao-Mori,Masao Mori,計算科学研究センター/Center for Computational Sciences,Domain_researcher
R0031,https://example.com/survey/R0031/飯田崇史,飯田崇史,数理物質系/Faculty of Pure and Applied Sciences,Domain_researcher
R0032,https://example.com/survey/R0032/丸本一弘,丸本一弘,数理物質系/Faculty of Pure and Applied Sciences,Domain_researcher
R0033,https://example.com/survey/R0033/清水則孝,清水則孝,計算科学研究センター/Center for Computational Sciences,Domain_researcher
R0034,https://example.com/survey/R0034/所裕子,所裕子,数理物質系/Faculty of Pure and Applied Sciences,Domain_researcher
R0035,https://example.com/survey/R0035/岡本裕樹,岡本裕樹,ビジネスサイエンス系/Faculty of Business Sciences,Domain_researcher
R0036,https://example.com/survey/R0036/大藏倫博,大藏倫博,体育系/Faculty of Health and Sport Sciences,Domain_researcher
R0037,https://example.com/survey/R0037/謝淳,謝淳,計算科学研究センター/Center for Computational Sciences,AI_researcher
R0038,https://example.com/survey/R0038/Wagner-Alexander,Wagner Alexander,計算科学研究センター/Center for Computational Sciences,Domain_researcher
R0039,https://example.com/survey/R0039/千島雄太,千島雄太,人間系/Faculty of Human Sciences,Domain_researcher
R0040,https://example.com/survey/R0040/山本修平,山本修平,"図書館情報メディア系/Faculty of Library, Information and Media Science",AI_researcher
R0041,https://example.com/survey/R0041/高-鍾斌ゴジョンビンGo-Jongbin,高 鍾斌（ゴ・ジョンビン）(Go Jongbin),数理物質系/Faculty of Pure and Applied Sciences,Domain_researcher
R0042,https://example.com/survey/R0042/于海涛,于海涛,"図書館情報メディア系/Faculty of Library, Information and Media Science",AI_researcher
R0043,https://example.com/survey/R0043/加藤-誠,加藤 誠,"図書館情報メディア系/Faculty of Library, Information and Media Science",AI_researcher
R0044,https://example.com/survey/R0044/小谷弘明,小谷弘明,数理物質系/Faculty of Pure and Applied Sciences,Domain_researcher
R0045,https://example.com/survey/R0045/下田一太,下田一太,芸術系/Faculty of Art and Design,Domain_researcher
R0046,https://example.com/survey/R0046/坂口-綾,坂口 綾,数理物質系/Faculty of Pure and Applied Sciences,Domain_researcher
R0047,https://example.com/survey/R0047/平賀-顕一,平賀 顕一,医学医療系/Faculty of Medicine,Domain_researcher
R0048,https://example.com/survey/R0048/讃岐-勝,讃岐 勝,医学医療系/Faculty of Medicine,AI_researcher
R0049,https://example.com/survey/R0049/水野裕史,水野裕史,芸術系/Faculty of Art and Design,Domain_researcher
R0050,https://example.com/survey/R0050/村上史明,村上史明,芸術系/Faculty of Art and Design,Domain_researcher
R0051,https://example.com/survey/R0051/照屋-翔太郎,照屋 翔太郎,医学医療系/Faculty of Medicine,Domain_researcher
R0052,https://example.com/survey/R0052/井汲-彰,井汲 彰,体育系/Faculty of Health and Sport Sciences,Domain_researcher
R0053,https://example.com/survey/R0053/山田博之,山田博之,芸術系/Faculty of Art and Design,Domain_researcher
R0054,https://example.com/survey/R0054/上浦佑太,上浦佑太,芸術系/Faculty of Art and Design,Domain_researcher
R0055,https://example.com/survey/R0055/島田憲佑,島田憲佑,医学医療系/Faculty of Medicine,Domain_researcher
R0056,https://example.com/survey/R0056/横井-駿,横井 駿,国際統合睡眠医科学研究機構/International Institute for Integrative Sleep Medicine,Domain_researcher
R0057,https://example.com/survey/R0057/佐藤大輔,佐藤大輔,体育系/Faculty of Health and Sport Sciences,Domain_researcher
R0058,https://example.com/survey/R0058/石崎和宏,石崎和宏,芸術系/Faculty of Art and Design,Domain_researcher
R0059,https://example.com/survey/R0059/宮坂-慎司,宮坂 慎司,芸術系/Faculty of Art and Design,Domain_researcher
R0060,https://example.com/survey/R0060/小山-慎一,小山 慎一,芸術系/Faculty of Art and Design,Domain_researcher
R0061,https://example.com/survey/R0061/原忠信,原忠信,芸術系/Faculty of Art and Design,Domain_researcher
R0062,https://example.com/survey/R0062/岩田祐佳梨,岩田祐佳梨,芸術系/Faculty of Art and Design,Domain_researcher
R0063,https://example.com/survey/R0063/鎌田浩史,鎌田浩史,医学医療系/Faculty of Medicine,AI_researcher
R0064,https://example.com/survey/R0064/Kaspar-Vogt,Kaspar Vogt,生命環境系/Faculty of Life and Environmental Sciences,AI_researcher
R0065,https://example.com/survey/R0065/石賀-康博,石賀 康博,生命環境系/Faculty of Life and Environmental Sciences,Domain_researcher
R0066,https://example.com/survey/R0066/高谷直樹,高谷直樹,生命環境系/Faculty of Life and Environmental Sciences,Domain_researcher
R0067,https://example.com/survey/R0067/金尚泰,金尚泰,"図書館情報メディア系/Faculty of Library, Information and Media Science",Domain_researcher
R0068,https://example.com/survey/R0068/星崇仁,星崇仁,医学医療系/Faculty of Medicine,Domain_researcher
R0069,https://example.com/survey/R0069/Andrew-Utada,Andrew Utada,生命環境系/Faculty of Life and Environmental Sciences,Domain_researcher
R0070,https://example.com/survey/R0070/若林-啓,若林 啓,"図書館情報メディア系/Faculty of Library, Information and Media Science",AI_researcher
R0071,https://example.com/survey/R0071/日下博幸,日下博幸,計算科学研究センター/Center for Computational Sciences,Domain_researcher
R0072,https://example.com/survey/R0072/Vijdan-Khalique,Vijdan Khalique,計算科学研究センター/Center for Computational Sciences,AI_researcher
R0073,https://example.com/survey/R0073/池田真利子,池田真利子,芸術系/Faculty of Art and Design,Domain_researcher
R0074,https://example.com/survey/R0074/肥後時尚,肥後時尚,芸術系/Faculty of Art and Design,Domain_researcher
R0075,https://example.com/survey/R0075/粉川美踏,粉川美踏,生命環境系/Faculty of Life and Environmental Sciences,Domain_researcher
R0076,https://example.com/survey/R0076/徳納吉秀,徳納吉秀,生命環境系/Faculty of Life and Environmental Sciences,Domain_researcher
R0077,https://example.com/survey/R0077/須田恭之,須田恭之,医学医療系/Faculty of Medicine,Domain_researcher
R0078,https://example.com/survey/R0078/堀江秀,堀江秀,計算科学研究センター/Center for Computational Sciences,Domain_researcher
R0079,https://example.com/survey/R0079/Sakay-Rodriguez-Oscar-Eduardo,Sakay Rodriguez Oscar Eduardo,芸術系/Faculty of Art and Design,AI_researcher
R0080,https://example.com/survey/R0080/杉崎広空,杉崎広空,芸術系/Faculty of Art and Design,Domain_researcher
R0081,https://example.com/survey/R0081/イン-ベイウェン,イン ベイウェン,生命環境系/Faculty of Life and Environmental Sciences,AI_researcher
R0082,https://example.com/survey/R0082/内山俊朗,内山俊朗,芸術系/Faculty of Art and Design,Domain_researcher
R0083,https://example.com/survey/R0083/保坂孝史,保坂孝史,医学医療系/Faculty of Medicine,Domain_researcher
R0084,https://example.com/survey/R0084/矢島-秀伸,矢島 秀伸,計算科学研究センター/Center for Computational Sciences,Domain_researcher
R0085,https://example.com/survey/R0085/大須賀健,大須賀健,計算科学研究センター/Center for Computational Sciences,Domain_researcher
R0086,https://example.com/survey/R0086/八木清,八木清,数理物質系/Faculty of Pure and Applied Sciences,Domain_researcher
R0087,https://example.com/survey/R0087/Mahesh-K-Kaushik,Mahesh K. Kaushik,国際統合睡眠医科学研究機構/International Institute for Integrative Sleep Medicine,Domain_researcher
R0088,https://example.com/survey/R0088/上北恭史,上北恭史,芸術系/Faculty of Art and Design,Domain_researcher
R0089,https://example.com/survey/R0089/服部利明,服部利明,数理物質系/Faculty of Pure and Applied Sciences,Domain_researcher
R0090,https://example.com/survey/R0090/三俣-千春,三俣 千春,数理物質系/Faculty of Pure and Applied Sciences,AI_researcher
R0091,https://example.com/survey/R0091/大井川-治宏,大井川 治宏,数理物質系/Faculty of Pure and Applied Sciences,Domain_researcher
R0092,https://example.com/survey/R0092/関口隆史,関口隆史,数理物質系/Faculty of Pure and Applied Sciences,Domain_researcher
R0093,https://example.com/survey/R0093/角田-憲治,角田 憲治,体育系/Faculty of Health and Sport Sciences,Domain_researcher
R0094,https://example.com/survey/R0094/石橋章司,石橋章司,計算科学研究センター/Center for Computational Sciences,Domain_researcher
R0095,https://example.com/survey/R0095/相山玲子,相山玲子,数理物質系/Faculty of Pure and Applied Sciences,Domain_researcher
R0096,https://example.com/survey/R0096/溝口知成,溝口知成,数理物質系/Faculty of Pure and Applied Sciences,Domain_researcher
R0097,https://example.com/survey/R0097/上殿明良,上殿明良,数理物質系/Faculty of Pure and Applied Sciences,Domain_researcher
R0098,https://example.com/survey/R0098/吉原-ゆかり,吉原 ゆかり,人文社会系/Faculty of Humanities and Social Sciences,Domain_researcher
R0099,https://example.com/survey/R0099/福島竜輝,福島竜輝,数理物質系/Faculty of Pure and Applied Sciences,Domain_researcher
R0100,https://example.com/survey/R0100/佐垣大輔,佐垣大輔,数理物質系/Faculty of Pure and Applied Sciences,Domain_researcher
R0101,https://example.com/survey/R0101/平石-典子,平石 典子,人文社会系/Faculty of Humanities and Social Sciences,Domain_researcher
R0102,https://example.com/survey/R0102/志賀拓也,志賀拓也,数理物質系/Faculty of Pure and Applied Sciences,Domain_researcher
R0103,https://example.com/survey/R0103/索米亜,索米亜,芸術系/Faculty of Art and Design,AI_researcher
R0104,https://example.com/survey/R0104/矢澤翔,矢澤翔,人文社会系/Faculty of Humanities and Social Sciences,Domain_researcher
R0105,https://example.com/survey/R0105/澤田-聖人,澤田 聖人,芸術系/Faculty of Art and Design,Domain_researcher
R0106,https://example.com/survey/R0106/岩崎拓也,岩崎拓也,人文社会系/Faculty of Humanities and Social Sciences,AI_researcher
R0107,https://example.com/survey/R0107/山本孟,山本孟,人文社会系/Faculty of Humanities and Social Sciences,Domain_researcher
R0108,https://example.com/survey/R0108/丸山-常彦,丸山 常彦,医学医療系/Faculty of Medicine,Domain_researcher
R0109,https://example.com/survey/R0109/佐藤有耕,佐藤有耕,人間系/Faculty of Human Sciences,Domain_researcher
R0110,https://example.com/survey/R0110/中山-健,中山 健,医学医療系/Faculty of Medicine,Domain_researcher
R0111,https://example.com/survey/R0111/森-龍也,森 龍也,数理物質系/Faculty of Pure and Applied Sciences,Domain_researcher
R0112,https://example.com/survey/R0112/山崎-剛,山崎 剛,数理物質系/Faculty of Pure and Applied Sciences,Domain_researcher
R0113,https://example.com/survey/R0113/田中祐輔,田中祐輔,人文社会系/Faculty of Humanities and Social Sciences,Domain_researcher
R0114,https://example.com/survey/R0114/申貞恩,申貞恩,人文社会系/Faculty of Humanities and Social Sciences,Domain_researcher
R0115,https://example.com/survey/R0115/樫原-輝,樫原 輝,人間系/Faculty of Human Sciences,Domain_researcher
R0116,https://example.com/survey/R0116/南山-淳,南山 淳,人文社会系/Faculty of Humanities and Social Sciences,AI_researcher
R0117,https://example.com/survey/R0117/北原-格,北原 格,計算科学研究センター/Center for Computational Sciences,AI_researcher
R0118,https://example.com/survey/R0118/Chia-Jung-Tsai,Chia-Jung Tsai,国際統合睡眠医科学研究機構/International Institute for Integrative Sleep Medicine,Domain_researcher
R0119,https://example.com/survey/R0119/LI-JINGJING,LI JINGJING,"図書館情報メディア系/Faculty of Library, Information and Media Science",AI_researcher
R0120,https://example.com/survey/R0120/宮川創,宮川創,人文社会系/Faculty of Humanities and Social Sciences,AI_researcher
R0121,https://example.com/survey/R0121/荏原充宏,荏原充宏,数理物質系/Faculty of Pure and Applied Sciences,Domain_researcher
R0122,https://example.com/survey/R0122/中尾篤史,中尾篤史,"システム情報系/Faculty of Engineering, Information and Systems",AI_researcher
R0123,https://example.com/survey/R0123/木下-陽平,木下 陽平,"システム情報系/Faculty of Engineering, Information and Systems",Domain_researcher
R0124,https://example.com/survey/R0124/浦田淳司,浦田淳司,"システム情報系/Faculty of Engineering, Information and Systems",Domain_researcher
R0125,https://example.com/survey/R0125/河辺徹,河辺徹,"システム情報系/Faculty of Engineering, Information and Systems",Domain_researcher
R0126,https://example.com/survey/R0126/青木聡志,青木聡志,"システム情報系/Faculty of Engineering, Information and Systems",Domain_researcher
R0127,https://example.com/survey/R0127/町田文雄,町田文雄,"システム情報系/Faculty of Engineering, Information and Systems",AI_researcher
R0128,https://example.com/survey/R0128/浅井健彦,浅井健彦,"システム情報系/Faculty of Engineering, Information and Systems",Domain_researcher
R0129,https://example.com/survey/R0129/柳沢明文,柳沢明文,人文社会系/Faculty of Humanities and Social Sciences,Domain_researcher
R0130,https://example.com/survey/R0130/金森-由博,金森 由博,"システム情報系/Faculty of Engineering, Information and Systems",AI_researcher
R0131,https://example.com/survey/R0131/小平大輔,小平大輔,"システム情報系/Faculty of Engineering, Information and Systems",AI_researcher
R0132,https://example.com/survey/R0132/外山美樹,外山美樹,人間系/Faculty of Human Sciences,Domain_researcher
R0133,https://example.com/survey/R0133/岡島敬一,岡島敬一,"システム情報系/Faculty of Engineering, Information and Systems",Domain_researcher
R0134,https://example.com/survey/R0134/齊藤裕一,齊藤裕一,"システム情報系/Faculty of Engineering, Information and Systems",Domain_researcher
R0135,https://example.com/survey/R0135/吉瀬章子,吉瀬章子,"システム情報系/Faculty of Engineering, Information and Systems",AI_researcher
R0136,https://example.com/survey/R0136/村田光司,村田光司,"図書館情報メディア系/Faculty of Library, Information and Media Science",Domain_researcher
R0137,https://example.com/survey/R0137/朝比奈雄太,朝比奈雄太,計算科学研究センター/Center for Computational Sciences,Domain_researcher
R0138,https://example.com/survey/R0138/原田彩佳,原田彩佳,生存ダイナミクス研究センター/Center for Dynamic Living Systems,Domain_researcher
R0139,https://example.com/survey/R0139/草野-都,草野 都,生命環境系/Faculty of Life and Environmental Sciences,Domain_researcher
R0140,https://example.com/survey/R0140/伊藤誠,伊藤誠,"システム情報系/Faculty of Engineering, Information and Systems",Domain_researcher
R0141,https://example.com/survey/R0141/佐奈喜-祐哉,佐奈喜 祐哉,生存ダイナミクス研究センター/Center for Dynamic Living Systems,Domain_researcher
R0142,https://example.com/survey/R0142/山田-武志,山田 武志,"システム情報系/Faculty of Engineering, Information and Systems",AI_researcher
R0143,https://example.com/survey/R0143/河野禎之,河野禎之,人間系/Faculty of Human Sciences,Domain_researcher
R0144,https://example.com/survey/R0144/川島-宏一,川島 宏一,"システム情報系/Faculty of Engineering, Information and Systems",Domain_researcher
R0145,https://example.com/survey/R0145/山口佳樹,山口佳樹,"システム情報系/Faculty of Engineering, Information and Systems",AI_researcher
R0146,https://example.com/survey/R0146/干川-尚人,干川 尚人,"システム情報系/Faculty of Engineering, Information and Systems",AI_researcher
R0147,https://example.com/survey/R0147/照沼-利之,照沼 利之,医学医療系/Faculty of Medicine,Domain_researcher
R0148,https://example.com/survey/R0148/森田えみ,森田えみ,国際統合睡眠医科学研究機構/International Institute for Integrative Sleep Medicine,Domain_researcher
R0149,https://example.com/survey/R0149/秋元祐太朗,秋元祐太朗,"システム情報系/Faculty of Engineering, Information and Systems",Domain_researcher
R0150,https://example.com/survey/R0150/大楽浩司,大楽浩司,"システム情報系/Faculty of Engineering, Information and Systems",AI_researcher
R0151,https://example.com/survey/R0151/金子-元,金子 元,数理物質系/Faculty of Pure and Applied Sciences,Domain_researcher
R0152,https://example.com/survey/R0152/本城咲季子,本城咲季子,国際統合睡眠医科学研究機構/International Institute for Integrative Sleep Medicine,Domain_researcher
R0153,https://example.com/survey/R0153/小野雄一,小野雄一,人文社会系/Faculty of Humanities and Social Sciences,AI_researcher
R0154,https://example.com/survey/R0154/柳浦-猛,柳浦 猛,"図書館情報メディア系/Faculty of Library, Information and Media Science",Domain_researcher
R0155,https://example.com/survey/R0155/山口友之,山口友之,"システム情報系/Faculty of Engineering, Information and Systems",Domain_researcher
R0156,https://example.com/survey/R0156/GARY-McLEOD,GARY McLEOD,芸術系/Faculty of Art and Design,Domain_researcher
R0157,https://example.com/survey/R0157/秋山英三,秋山英三,"システム情報系/Faculty of Engineering, Information and Systems",AI_researcher
R0158,https://example.com/survey/R0158/桑原-純平,桑原 純平,数理物質系/Faculty of Pure and Applied Sciences,Domain_researcher
R0159,https://example.com/survey/R0159/渡邊育夢,渡邊育夢,数理物質系/Faculty of Pure and Applied Sciences,AI_researcher
R0160,https://example.com/survey/R0160/陳映廷,陳映廷,"図書館情報メディア系/Faculty of Library, Information and Media Science",AI_researcher
R0161,https://example.com/survey/R0161/大野-聡,大野 聡,生存ダイナミクス研究センター/Center for Dynamic Living Systems,AI_researcher
R0162,https://example.com/survey/R0162/大野浩史,大野浩史,計算科学研究センター/Center for Computational Sciences,Domain_researcher
R0163,https://example.com/survey/R0163/小泉裕康,小泉裕康,計算科学研究センター/Center for Computational Sciences,Domain_researcher
R0164,https://example.com/survey/R0164/松島みどり,松島みどり,人文社会系/Faculty of Humanities and Social Sciences,Domain_researcher
R0165,https://example.com/survey/R0165/Tianwen-Tan,Tianwen Tan,数理物質系/Faculty of Pure and Applied Sciences,Domain_researcher
R0166,https://example.com/survey/R0166/Ziyan-Jiang,Ziyan Jiang,数理物質系/Faculty of Pure and Applied Sciences,Domain_researcher
